"270","2018-07-12 16:06:00","फीफाः बिग बी और अभिषेक बच्चन बेल्जियम-फ्रांस का सेमीफाइनल मैच देखने  रूस पहुंचे , इंस्टाग्राम पर साझा की तस्वीर","खेल","sports","hi"
"271","2018-07-12 14:24:00","फील्डिंग को लेकर कुलदीप यादव पर भड़के थे धोनी, कहा था- 'क्या मैं पागल हूं यहां पे, मैं 300 वनडे खेल चुका हूं'","खेल","sports","hi"
"275","2018-07-17 10:53:31","सुप्रीम कोर्ट ने की मॉब लिंचिंग की आलोचना, कहा-'भीड़ को हिंसा की इजाजत नहीं, कानून बनाए संसद'","प्रमुख समाचार","latest","hi"
"277","2018-07-17 11:50:18","सोनिया गांधी के ‘विदेशी मूल' का मुद्दा उठाने पर मायावती ने पार्टी नेता को पद से हटाया","प्रमुख समाचार","latest","hi"
"283","2018-07-17 12:22:48","रीता भादुड़ी की मौत पर अनिल कपूर समेत इन स्टार्स ने जताया शोक","प्रमुख समाचार","latest","hi"
"287","2018-07-17 08:07:16","SBI PO prelims Result 2018: एसबीआई पीओ प्रीलिम्स परीक्षा के नतीजे घोषित, इस लिंक पर क्लिक कर चेक करें नतीजे","प्रमुख समाचार","latest","hi"
"290","2018-07-17 11:52:02","Amazon के फाउंडर जेफ बेजोस बने मॉर्डन हिस्ट्री के सबसे अमीर शख्स, कुल संपत्ति 150 बिलियन डॉलर हुई","प्रमुख समाचार","latest","hi"
"293","2018-07-17 12:25:34","शाहरूख खान की बेटी सुहाना खान ने फिर शेयर की हॉट फोटो, कुछ ही घंटों में हो गई वायरल","प्रमुख समाचार","latest","hi"
"296","2018-07-17 11:11:22","खुलासा: बलात्कार के आरोपी को 30 साल बाद कंडोम ने पकड़वाया, जानें कैसे","प्रमुख समाचार","latest","hi"
"299","2018-07-17 12:45:04","Jio vs Vodafone vs Airtel vs BSNL: 200 रुपये में आ रहे हैं ये 1.5 जीबी वाले प्लान्स, जानिए इनके बारे में","प्रमुख समाचार","latest","hi"
"310","2018-07-17 11:39:04","स्विट्जरलैंड में पहली बार हॉलिडे मनाने गए ये टीवी कपल, शेयर की अपनी प्राइवेट PHOTOS","प्रमुख समाचार","latest","hi"
"316","2018-07-17 10:48:49","मौसम अलर्ट: बिहार-यूपी में उमस भरी गर्मी, बारिश के आसार नहीं, दिल्ली में सुबह आंशिक बदली छाई","प्रमुख समाचार","latest","hi"
"329","2018-07-17 06:55:56","चेन्नई: 11 साल की बच्ची का 15 लोगों ने किया यौन उत्पीड़न, 18 गिरफ्तार आरोपियों में सिक्योरिटी गार्ड, लिफ्टमैन भी शामिल","प्रमुख समाचार","latest","hi"
"341","2018-07-17 12:51:45","दिल्‍ली : 6 साल की बच्ची से दरिंदगी करने वाला गिरफ्तार, किन्नर अब भी फरार","प्रमुख समाचार","latest","hi"
"347","2018-07-17 12:42:32","लालू से TDP के सांसदों ने की मुलाकात, सरकार के खिलाफ अविश्वास प्रस्ताव लाने की तैयारी","प्रमुख समाचार","latest","hi"
"353","2018-07-17 12:35:13","निक का खुलासा, बताया इस वजह से पसंद है 10 साल बड़ी प्रियंका चोपड़ा, देखें VIDEO","प्रमुख समाचार","latest","hi"
"364","2018-07-14 15:35:09","UPSC Civil Services Prelims 2018 Results घोषित, यहां देखें पूरा रिजल्ट","प्रमुख समाचार","latest","hi"
"368","2018-07-17 10:56:43","कमल हसन ने रीता भादुड़ी के साथ किया था फिल्मों में डेब्यू, मिला था फिल्मफेयर अवॉर्ड-VIDEO","प्रमुख समाचार","latest","hi"
"374","2018-07-17 11:13:29","World Emoji Day 2018: एप्पल की घोषणा, इस साल आएंगे 70 नए इमोजी","प्रमुख समाचार","latest","hi"
"378","2018-07-17 08:26:04","SBI po prelims result 2018: ऐसे चेक करें sbi.co.in से SBI पीओ रिजल्ट","प्रमुख समाचार","latest","hi"
"382","2018-07-17 11:01:46","Gupt Navratri 2018: गुप्त नवरात्रि की पांचवी महाविद्या हैं छिन्नमस्ता","प्रमुख समाचार","latest","hi"
"387","2018-07-17 06:30:12","गैंगरेप और सुसाइड पर सीएम योगी की बड़ी कार्रवाई, संभल और प्रतापगढ़ के एसपी सस्पेंड","प्रमुख समाचार","latest","hi"
"393","2018-07-17 10:38:43","बिहार: प्रसाद खाने से 33 लोग हुए बीमार, जमीन पर लिटाकर डॉक्टरों ने किया इलाज","प्रमुख समाचार","latest","hi"
"400","2018-07-17 11:55:20","बच्चे बेचे जाने का मामला: मेनका गांधी ने दिए मिशनरीज ऑफ चैरिटी के बाल सुविधा गृह की जांच के आदेश","प्रमुख समाचार","latest","hi"
"412","2018-07-17 10:26:39","राहुल गांधी पर बयान देने वाले BSP नेता जय प्रकाश सिंह को पार्टी प्रमुख मायावती ने पद से हटाया","प्रमुख समाचार","latest","hi"
"417","2018-07-17 10:53:30","INDIAN IDOL 10: अनु मलिक और नेहा में हुई ऐसी बहस, कंटेस्टेंट भी हो गई Shocked","प्रमुख समाचार","latest","hi"
"420","2018-07-17 10:46:45","BSNL यूजर्स के लिए शानदार खबर, कंपनी के अधिकारी ने किया बड़ा ऐलान","प्रमुख समाचार","latest","hi"
"424","2018-07-17 10:32:12","तो इस कारण प्रियंका चोपड़ा भारत में नहीं मनाएंगी अपना जन्मदिन, सामने आई ये वजह","प्रमुख समाचार","latest","hi"
"449","2018-07-17 06:57:00","कुलभूषण जाधव केस: पाकिस्तान आज आईसीजे में अपना जवाबी हलफनामा करेगा दाखिल","दुनिया","world","hi"
"469","2018-07-17 12:20:58","धोनी को देख गावसकर को याद आए अपने 'बदनाम' 36 रन","प्रमुख समाचार","latest","hi"
"473","2018-07-17 09:57:11","राहुल को बोला 'विदेशी', मायावती ने कर दी छुट्टी","प्रमुख समाचार","latest","hi"
"477","2018-07-17 09:53:06","बारिश बनी आफतः गुजरात, केरल में बुरा हाल","प्रमुख समाचार","latest","hi"
"481","2018-07-17 10:50:10","गोरक्षा हिंसा: SC का निर्देश, संसद बनाए कानून","प्रमुख समाचार","latest","hi"
"485","2018-07-17 12:24:47","ट्रंप के बेटे हो? युवती ने मनचले को धुन डाला","प्रमुख समाचार","latest","hi"
"489","2018-07-17 12:54:29","फतवा: 'निदा मर भी जाए तो न नसीब हो कब्र'","प्रमुख समाचार","latest","hi"
"493","2018-07-17 11:30:46","10000000000000... अमीर नंबर 1 से मिलिए","प्रमुख समाचार","latest","hi"
"498","2018-07-17 11:20:33","बच्ची के साथ महीनों से कर रहे थे रेप, 18 अरेस्ट","प्रमुख समाचार","latest","hi"
"502","2018-07-17 12:36:03","भविष्यवाणीः ऐसे टूटेगा अफ्रीका, हिलेगा हिमालय","प्रमुख समाचार","latest","hi"
"506","2018-07-17 11:53:22","देखें, कलश यात्रा निकाल 'वामपंथी' येचुरी वायरल","प्रमुख समाचार","latest","hi"
"527","2018-07-17 10:51:45","देखें: नदी में गिरी कार, ऐसे बची लोगों की जान","मेट्रो","metro","hi"
"530","2018-07-17 08:41:14","दूधबंदी के कारण मुंबई में पुलिस के पहरे में दूध","मेट्रो","metro","hi"
"534","2018-07-17 08:18:00","UP: BJP के इन सांसदों का टिकट कटना तय","मेट्रो","metro","hi"
"538","2018-07-17 09:38:17","'गड्ढों से सावधान' होर्डिंग पर भड़के लोग","मेट्रो","metro","hi"
